Full Name,Jersey Number,Last Name,First Name,Country Code,Matches Played,Points,Tries,Conv. made,Conv. attempted,Conv. percent,Age,Height,Weight,Team Placement,Yellow Cards,Red Cards,World Rugby Tournaments
TERITA Bienne,1,Terita,Bienne,AUS,6,15,3,0,0,N/A,21,178,75,4,0,0,15
N/A,2,Smale,Sharni,AUS,5,0,0,0,0,N/A,36,167,76,4,0,0,53
NATHAN Faith,3,Nathan,Faith,AUS,6,15,3,0,0,N/A,23,164,62,4,0,0,26
du TOIT Dominique,4,du Toit,Dominique,AUS,5,2,0,1,1,100.00,27,167,56,4,0,0,36
LEVI Teagan,5,Levi,Teagan,AUS,6,19,3,2,4,50.00,20,173,66,4,2,0,18
PAKI Sariah,6,Paki,Sariah,AUS,6,5,1,0,0,N/A,22,172,65,4,0,0,32
N/A,7,Caslick,Charlotte,AUS,5,0,0,0,0,N/A,29,170,64,4,0,0,55
N/A,8,Shave,Kaitlin,AUS,1,0,0,0,0,N/A,23,170,72,4,1,0,8
HINDS Tia,9,Hinds,Tia,AUS,6,22,0,11,19,57.89,22,174,68,4,1,0,17
NASSER Isabella,10,Nasser,Isabella,AUS,6,5,1,0,0,N/A,22,174,70,4,0,0,11
N/A,11,Clark,Bridget,AUS,5,0,0,0,0,N/A,21,173,78,4,0,0,3
LEVI Maddison,12,Levi,Maddison,AUS,6,70,14,0,0,N/A,22,183,67,4,0,0,22
N/A,13,Henwood,Kahli,AUS,2,0,0,0,0,N/A,24,172,74,4,0,0,0
N/A,1,Nicolau Da Silva,Mariana,BRA,5,0,0,0,0,N/A,26,160,70,10,0,0,31
N/A,2,Gonzalez Da Costa Campos,Luiza,BRA,0,0,0,0,0,N/A,33,165,68,10,0,0,46
N/A,3,Silva,Milena,BRA,3,0,0,0,0,N/A,24,174,65,10,0,0,10
N/A,4,Gomes dos Santos,Gisele,BRA,4,0,0,0,0,N/A,20,166,64,10,0,0,11
COSTA Thalia,5,Costa,Thalia,BRA,5,10,2,0,0,N/A,27,155,55,10,0,0,27
da SILVA COSTA Thalita,6,da Silva Costa,Thalita,BRA,5,5,1,0,0,N/A,27,158,64,10,0,0,17
SOARES Yasmim,7,de Lima Soares,Yasmim,BRA,5,10,2,0,0,N/A,25,160,54,10,0,0,9
N/A,8,Fioravanti Costa,Marina,BRA,5,0,0,0,0,N/A,30,169,66,10,0,0,22
LIMA Gabriela,9,de Farias Lima,Gabriela,BRA,5,17,3,1,1,100.00,29,171,65,10,0,0,19
KOCHHANN Raquel,10,Kochhann,Raquel,BRA,5,10,0,5,7,71.43,31,172,72,10,0,0,38
N/A,11,Silva,Bianca,BRA,2,0,0,0,0,N/A,25,174,63,10,0,0,31
N/A,12,da Cruz de Souza,Marcelle,BRA,5,0,0,0,0,N/A,27,177,76,10,0,0,13
N/A,13,dos Santos Silva,Leila,BRA,4,0,0,0,0,N/A,27,160,56,10,0,0,21
N/A,14,Lopes de Souza,Isadora,BRA,3,0,0,0,0,N/A,26,165,68,10,0,0,14
N/A,1,Crossley,Caroline,CAN,6,0,0,0,0,N/A,26,181,81,2,0,0,24
APPS Olivia,2,Apps,Olivia,CAN,6,10,0,5,5,100.00,25,166,70,2,1,0,26
CORRIGAN Alysha,3,Corrigan,Alysha,CAN,6,5,1,0,0,N/A,27,167,70,2,0,0,15
HOGAN-ROCHESTER Asia,4,Hogan-Rochester,Asia,CAN,6,7,1,1,1,100.00,25,163,64,2,0,0,10
DANIELS Chloe,5,Daniels,Chloe,CAN,6,20,2,5,10,50.00,21,174,68,2,0,0,16
WILLIAMS Charity,6,Williams,Charity,CAN,6,25,5,0,0,N/A,27,164,68,2,0,0,36
SYMONDS Florence,7,Symonds,Florence,CAN,5,5,1,0,0,N/A,22,178,75,2,0,0,10
N/A,8,Norsten,Carissa,CAN,4,0,0,0,0,N/A,20,173,70,2,0,0,7
N/A,9,Scurfield,Krissy,CAN,2,0,0,0,0,N/A,21,168,70,2,0,0,17
N/A,10,Bermudez,Fancy,CAN,6,0,0,0,0,N/A,22,160,70,2,0,0,19
LOGAN Piper,11,Logan,Piper,CAN,6,20,4,0,0,N/A,23,167,60,2,0,0,10
WARDLEY Keyara,12,Wardley,Keyara,CAN,3,5,1,0,0,N/A,24,170,68,2,0,0,14
N/A,13,Perry,Taylor,CAN,1,0,0,0,0,N/A,23,168,68,2,0,0,3
N/A,14,Valenzuela,Shalaya,CAN,0,0,0,0,0,N/A,25,170,72,2,0,0,12
N/A,1,Ruan,Hongting,CHN,6,0,0,0,0,N/A,28,182,74,2,0,0,11
YAN Meiling,2,Yan,Meiling,CHN,5,5,1,0,0,N/A,27,166,70,6,0,0,16
N/A,3,Su,Qi,CHN,5,0,0,0,0,N/A,24,180,77,6,0,0,6
N/A,4,Zhou,Yan,CHN,5,0,0,0,0,N/A,26,170,70,6,0,0,6
GU Yaoyao,5,Gu,Yaoyao,CHN,6,10,0,5,9,55.56,28,168,67,6,0,0,14
WANG Wanyu,6,Wang,Wanyu,CHN,5,10,2,0,0,N/A,27,170,60,6,0,0,4
CHEN Keyi,7,Chen,Keyi,CHN,6,21,3,3,5,60.00,28,171,69,6,0,0,23
N/A,8,Sun,Yue,CHN,5,0,0,0,0,N/A,24,170,68,6,0,0,5
YANG Feifei,9,Yang,Feifei,CHN,5,10,2,0,0,N/A,26,163,60,6,0,0,6
DOU Xinrong,10,Dou,Xinrong,CHN,5,12,2,1,1,100.00,23,170,62,6,0,0,5
LIU Xiaoqian,11,Liu,Xiaoqian,CHN,6,20,4,0,0,N/A,28,160,59,6,0,0,14
HU Yu,12,Hu,Yu,CHN,6,5,1,0,0,N/A,25,165,65,6,0,0,14
N/A,13,Ma,Xiaodan,CHN,1,0,0,0,0,N/A,26,175,70,6,0,0,0
N/A,14,Wang,Xiao,CHN,1,0,0,0,0,N/A,25,180,75,6,0,0,7
N/A,1,Daveua,Raijieli,FIJ,5,0,0,0,0,N/A,32,172,73,12,1,0,33
DITAVUTU Verenaisi,2,Ditavutu,Verenaisi,FIJ,5,5,1,0,0,N/A,24,173,75,12,1,0,10
BULEKI Adi Vani,3,Buleki,Adi Vani,FIJ,5,10,2,0,0,N/A,23,176,79,12,0,0,18
N/A,4,Cavuru,Lavena,FIJ,1,0,0,0,0,N/A,30,165,64,12,0,0,22
ULUNISAU Reapi,5,Ulunisau,Reapi,FIJ,5,4,0,2,5,40.00,29,163,59,12,0,0,17
NAIMASI Ana Maria,6,Naimasi,Ana Maria,FIJ,5,16,2,3,7,42.86,30,165,67,12,1,0,42
DELAIWAU Ilisapeci,7,Delaiwau,Ilisapeci,FIJ,5,5,1,0,0,N/A,24,163,65,12,0,0,15
LOMANI Kolora,8,Lomani,Kolora,FIJ,4,5,1,0,0,N/A,24,168,67,12,0,0,1
